事故内容,住所,Geo3x3
定友町十字路,定友町,E913849984887119
新在家町T字路,新在家,E913849984543888
不老町堤登り口,不老町,E913849973678481
岩本町神社前,岩本町,E913849981977315
大滝町旧和紙組合前から上に上がる道,大滝町,E913849981959125
杉尾町入口交差点,杉尾町,E913849985997747
月尾サブセンター前,轟井町,E913849986565825
