店名・会社・個人自宅,住所,Geo3x3
パピルス館,新在家8-44,E913849984426595
社会福祉センター,杉尾町1-27-1,E913849988431498
社会福祉センター（夢広場）,杉尾町1-27-1,E913849988511122
岡本小学校,定友町10-15,E913849984844362
岡本公民館,定友町10-2-2,E913849984812172
今立図書館,定友町21-3-1,E913849987296186
今立体育センター,岩本町1-9,E913849976392474
八ツ杉森林学習センター,別印町19-1-1,E913857745768274
岡本児童館,定友町,E913849984762357
認定こども園岡本,岩本町,E913849984219276
